countryname,indicatorname,year_2017,target_groups
Serbia,"Employment in industry, female (% of female employment) (modeled ILO estimate)",16.9309997600,Apathetic
Serbia,"Employment in services, female (% of female employment) (modeled ILO estimate)",68.1399993900,Apathetic
Serbia,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",54.3209991500,Apathetic
Serbia,Fixed telephone subscriptions (per 100 people),29.5550503400,Apathetic
Serbia,GDP per capita (current US$),6284.1928040000,Apathetic
Serbia,GDP per capita growth (annual %),2.5938529800,Apathetic
Serbia,"Incidence of tuberculosis (per 100,000 people)",19.0000000000,Apathetic
Serbia,Individuals using the Internet (% of population),70.3308355300,Apathetic
Serbia,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",54.4729995700,Apathetic
Serbia,"Life expectancy at birth, female (years)",78.1000000000,Apathetic
Serbia,"Life expectancy at birth, male (years)",73.1000000000,Apathetic
Serbia,"Life expectancy at birth, total (years)",75.5390243900,Apathetic
Serbia,Lifetime risk of maternal death (%),0.0172571300,Apathetic
Serbia,Mobile cellular subscriptions (per 100 people),97.6459144100,Apathetic
Serbia,"Mortality rate, infant (per 1,000 live births)",5.0000000000,Apathetic
Serbia,Net migration,20000.0000000000,Apathetic
Serbia,Rural population (% of total population),44.0580000000,Apathetic
Serbia,Secure Internet servers (per 1 million people),5802.5671510000,Apathetic
Serbia,"Survival to age 65, female (% of cohort)",87.5720300000,Apathetic
Serbia,"Survival to age 65, male (% of cohort)",76.7641880000,Apathetic
Serbia,"Tuberculosis case detection rate (%, all forms)",87.0000000000,Apathetic
Serbia,Urban population (% of total population),55.9420000000,Apathetic
Sierra Leone,"Birth rate, crude (per 1,000 people)",33.9390000000,Moderately Sad
Sierra Leone,Employment in agriculture (% of total employment) (modeled ILO estimate),56.2639999400,Moderately Sad
Sierra Leone,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",53.6150016800,Moderately Sad
Sierra Leone,"Employment in industry, female (% of female employment) (modeled ILO estimate)",1.3509999510,Moderately Sad
Sierra Leone,"Employment in services, female (% of female employment) (modeled ILO estimate)",45.0340004000,Moderately Sad
Sierra Leone,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",55.6809997600,Moderately Sad
Sierra Leone,Fixed telephone subscriptions (per 100 people),0.2270170900,Moderately Sad
Sierra Leone,GDP per capita (current US$),499.3807078000,Moderately Sad
Sierra Leone,GDP per capita growth (annual %),1.9902400680,Moderately Sad
Sierra Leone,"Incidence of tuberculosis (per 100,000 people)",301.0000000000,Moderately Sad
Sierra Leone,Individuals using the Internet (% of population),9.0000000000,Moderately Sad
Sierra Leone,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",58.0359993000,Moderately Sad
Sierra Leone,"Life expectancy at birth, female (years)",54.6970000000,Moderately Sad
Sierra Leone,"Life expectancy at birth, male (years)",53.0490000000,Moderately Sad
Sierra Leone,"Life expectancy at birth, total (years)",53.8950000000,Moderately Sad
Sierra Leone,Lifetime risk of maternal death (%),4.8955159310,Moderately Sad
Sierra Leone,Mobile cellular subscriptions (per 100 people),88.4698954600,Moderately Sad
Sierra Leone,"Mortality rate, infant (per 1,000 live births)",81.3000000000,Moderately Sad
Sierra Leone,Net migration,-21000.0000000000,Moderately Sad
Sierra Leone,Rural population (% of total population),58.3640000000,Moderately Sad
Sierra Leone,Secure Internet servers (per 1 million people),1.8695505110,Moderately Sad
Sierra Leone,"Survival to age 65, female (% of cohort)",48.4930220000,Moderately Sad
Sierra Leone,"Survival to age 65, male (% of cohort)",43.0200940000,Moderately Sad
Sierra Leone,"Tuberculosis case detection rate (%, all forms)",71.0000000000,Moderately Sad
Sierra Leone,Urban population (% of total population),41.6360000000,Moderately Sad
Singapore,"Birth rate, crude (per 1,000 people)",8.9000000000,Extremely Happy
Singapore,Employment in agriculture (% of total employment) (modeled ILO estimate),0.7599999900,Extremely Happy
Singapore,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",0.3519999980,Extremely Happy
Singapore,"Employment in industry, female (% of female employment) (modeled ILO estimate)",11.2919998200,Extremely Happy
Singapore,"Employment in services, female (% of female employment) (modeled ILO estimate)",88.3560028100,Extremely Happy
Singapore,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",75.7959976200,Extremely Happy
Singapore,Fixed telephone subscriptions (per 100 people),34.8928818100,Extremely Happy
Singapore,GDP per capita (current US$),60913.7453300000,Extremely Happy
Singapore,GDP per capita growth (annual %),4.2442083490,Extremely Happy
Singapore,"Incidence of tuberculosis (per 100,000 people)",47.0000000000,Extremely Happy
Singapore,Individuals using the Internet (% of population),84.4495387800,Extremely Happy
Singapore,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",70.9800033600,Extremely Happy
Singapore,"Life expectancy at birth, female (years)",85.4000000000,Extremely Happy
Singapore,"Life expectancy at birth, male (years)",80.9000000000,Extremely Happy
Singapore,"Life expectancy at birth, total (years)",83.0951219500,Extremely Happy
Singapore,Lifetime risk of maternal death (%),0.0100708680,Extremely Happy
Singapore,Mobile cellular subscriptions (per 100 people),146.8437245000,Extremely Happy
Singapore,"Mortality rate, infant (per 1,000 live births)",2.2000000000,Extremely Happy
Singapore,Net migration,135142.0000000000,Extremely Happy
Singapore,Rural population (% of total population),0.0000000000,Extremely Happy
Singapore,Secure Internet servers (per 1 million people),58690.3334500000,Extremely Happy
Singapore,"Survival to age 65, female (% of cohort)",94.1238890000,Extremely Happy
Singapore,"Survival to age 65, male (% of cohort)",89.9641740000,Extremely Happy
Singapore,"Tuberculosis case detection rate (%, all forms)",87.0000000000,Extremely Happy
Singapore,Urban population (% of total population),100.0000000000,Extremely Happy
Slovakia,"Birth rate, crude (per 1,000 people)",10.7000000000,Moderately Happy
Slovakia,Employment in agriculture (% of total employment) (modeled ILO estimate),2.7079999450,Moderately Happy
Slovakia,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",1.3700000050,Moderately Happy
Slovakia,"Employment in industry, female (% of female employment) (modeled ILO estimate)",21.3190002400,Moderately Happy
Slovakia,"Employment in services, female (% of female employment) (modeled ILO estimate)",77.3109970100,Moderately Happy
Slovakia,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",62.3580017100,Moderately Happy
Slovakia,Fixed telephone subscriptions (per 100 people),13.9290735900,Moderately Happy
Slovakia,GDP per capita (current US$),17554.3083200000,Moderately Happy
Slovakia,GDP per capita growth (annual %),2.8865536900,Moderately Happy
Slovakia,"Incidence of tuberculosis (per 100,000 people)",4.8000000000,Moderately Happy
Slovakia,Individuals using the Internet (% of population),81.6256675200,Moderately Happy
Slovakia,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",59.9790000900,Moderately Happy
Slovakia,"Life expectancy at birth, female (years)",80.7000000000,Moderately Happy
Slovakia,"Life expectancy at birth, male (years)",73.8000000000,Moderately Happy
Slovakia,"Life expectancy at birth, total (years)",77.1658536600,Moderately Happy
Slovakia,Lifetime risk of maternal death (%),0.0079624770,Moderately Happy
Slovakia,Mobile cellular subscriptions (per 100 people),130.6513152000,Moderately Happy
Slovakia,"Mortality rate, infant (per 1,000 live births)",4.8000000000,Moderately Happy
Slovakia,Net migration,7423.0000000000,Moderately Happy
Slovakia,Rural population (% of total population),46.2490000000,Moderately Happy
Slovakia,Secure Internet servers (per 1 million people),6963.6669290000,Moderately Happy
Slovakia,"Survival to age 65, female (% of cohort)",89.7292180000,Moderately Happy
Slovakia,"Survival to age 65, male (% of cohort)",76.6821480000,Moderately Happy
Slovakia,"Tuberculosis case detection rate (%, all forms)",87.0000000000,Moderately Happy
Slovakia,Urban population (% of total population),53.7510000000,Moderately Happy
Slovenia,"Birth rate, crude (per 1,000 people)",9.8000000000,Moderately Happy
Slovenia,Employment in agriculture (% of total employment) (modeled ILO estimate),5.5619997980,Moderately Happy
Slovenia,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",4.8169999120,Moderately Happy
Slovenia,"Employment in industry, female (% of female employment) (modeled ILO estimate)",19.0319995900,Moderately Happy
Slovenia,"Employment in services, female (% of female employment) (modeled ILO estimate)",76.1510009800,Moderately Happy
Slovenia,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",59.7620010400,Moderately Happy
Slovenia,Fixed telephone subscriptions (per 100 people),34.5423363800,Moderately Happy
Slovenia,GDP per capita (current US$),23500.7522300000,Moderately Happy
Slovenia,GDP per capita growth (annual %),4.7650967370,Moderately Happy
Slovenia,"Incidence of tuberculosis (per 100,000 people)",6.2000000000,Moderately Happy
Slovenia,Individuals using the Internet (% of population),78.8854263600,Moderately Happy
Slovenia,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",58.5239982600,Moderately Happy
Slovenia,"Life expectancy at birth, female (years)",84.0000000000,Moderately Happy
Slovenia,"Life expectancy at birth, male (years)",78.2000000000,Moderately Happy
Slovenia,"Life expectancy at birth, total (years)",81.0292682900,Moderately Happy
Slovenia,Lifetime risk of maternal death (%),0.0107516860,Moderately Happy
Slovenia,Mobile cellular subscriptions (per 100 people),117.6641813000,Moderately Happy
Slovenia,"Mortality rate, infant (per 1,000 live births)",1.8000000000,Moderately Happy
Slovenia,Net migration,9999.0000000000,Moderately Happy
Slovenia,Rural population (% of total population),45.7270000000,Moderately Happy
Slovenia,Secure Internet servers (per 1 million people),19594.0936600000,Moderately Happy
Slovenia,"Survival to age 65, female (% of cohort)",92.5881630000,Moderately Happy
Slovenia,"Survival to age 65, male (% of cohort)",85.2044970000,Moderately Happy
Slovenia,"Tuberculosis case detection rate (%, all forms)",87.0000000000,Moderately Happy
Slovenia,Urban population (% of total population),54.2730000000,Moderately Happy
Somalia,"Birth rate, crude (per 1,000 people)",41.9190000000,Apathetic
Somalia,Employment in agriculture (% of total employment) (modeled ILO estimate),83.3040008500,Apathetic
Somalia,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",87.3479995700,Apathetic
Somalia,"Employment in industry, female (% of female employment) (modeled ILO estimate)",1.6599999670,Apathetic
Somalia,"Employment in services, female (% of female employment) (modeled ILO estimate)",10.9919996300,Apathetic
Somalia,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",65.0510025000,Apathetic
Somalia,"Incidence of tuberculosis (per 100,000 people)",266.0000000000,Apathetic
Somalia,Individuals using the Internet (% of population),2.0040486980,Apathetic
Somalia,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",47.2569999700,Apathetic
Somalia,"Life expectancy at birth, female (years)",58.4200000000,Apathetic
Somalia,"Life expectancy at birth, male (years)",55.0670000000,Apathetic
Somalia,"Life expectancy at birth, total (years)",56.7090000000,Apathetic
Somalia,Lifetime risk of maternal death (%),5.0843000890,Apathetic
Somalia,Mobile cellular subscriptions (per 100 people),48.7964401600,Apathetic
Somalia,"Mortality rate, infant (per 1,000 live births)",78.8000000000,Apathetic
Somalia,Net migration,-200002.0000000000,Apathetic
Somalia,Rural population (% of total population),55.6090000000,Apathetic
Somalia,Secure Internet servers (per 1 million people),25.9097208000,Apathetic
Somalia,"Survival to age 65, female (% of cohort)",56.4326730000,Apathetic
Somalia,"Survival to age 65, male (% of cohort)",49.9038040000,Apathetic
Somalia,"Tuberculosis case detection rate (%, all forms)",43.0000000000,Apathetic
Somalia,Urban population (% of total population),44.3910000000,Apathetic
South Africa,"Birth rate, crude (per 1,000 people)",20.9080000000,Moderately Sad
South Africa,Employment in agriculture (% of total employment) (modeled ILO estimate),5.2849998470,Moderately Sad
South Africa,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",3.7739999290,Moderately Sad
South Africa,"Employment in industry, female (% of female employment) (modeled ILO estimate)",12.2180004100,Moderately Sad
South Africa,"Employment in services, female (% of female employment) (modeled ILO estimate)",84.0080032300,Moderately Sad
South Africa,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",47.1949996900,Moderately Sad
South Africa,Fixed telephone subscriptions (per 100 people),8.4372822080,Moderately Sad
South Africa,GDP per capita (current US$),6132.4798410000,Moderately Sad
South Africa,GDP per capita growth (annual %),-0.0031389540,Moderately Sad
South Africa,"Incidence of tuberculosis (per 100,000 people)",567.0000000000,Moderately Sad
South Africa,Individuals using the Internet (% of population),56.1673944700,Moderately Sad
South Africa,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",56.2019996600,Moderately Sad
South Africa,"Life expectancy at birth, female (years)",67.0640000000,Moderately Sad
South Africa,"Life expectancy at birth, male (years)",60.1620000000,Moderately Sad
South Africa,"Life expectancy at birth, total (years)",63.5380000000,Moderately Sad
South Africa,Lifetime risk of maternal death (%),0.3006064610,Moderately Sad
South Africa,Mobile cellular subscriptions (per 100 people),155.2323957000,Moderately Sad
South Africa,"Mortality rate, infant (per 1,000 live births)",29.6000000000,Moderately Sad
South Africa,Net migration,727026.0000000000,Moderately Sad
South Africa,Rural population (% of total population),34.1500000000,Moderately Sad
South Africa,Secure Internet servers (per 1 million people),9430.6973120000,Moderately Sad
South Africa,"Survival to age 65, female (% of cohort)",65.9860250000,Moderately Sad
South Africa,"Survival to age 65, male (% of cohort)",49.8867780000,Moderately Sad
South Africa,"Tuberculosis case detection rate (%, all forms)",75.0000000000,Moderately Sad
South Africa,Urban population (% of total population),65.8500000000,Moderately Sad
South Korea,"Birth rate, crude (per 1,000 people)",7.0000000000,Moderately Happy
South Korea,Employment in agriculture (% of total employment) (modeled ILO estimate),4.7839999200,Moderately Happy
South Korea,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",4.4699997900,Moderately Happy
South Korea,"Employment in industry, female (% of female employment) (modeled ILO estimate)",13.6879997300,Moderately Happy
South Korea,"Employment in services, female (% of female employment) (modeled ILO estimate)",81.8410034200,Moderately Happy
South Korea,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",70.6750030500,Moderately Happy
South Korea,Fixed telephone subscriptions (per 100 people),52.5373296700,Moderately Happy
South Korea,GDP per capita (current US$),31616.8434000000,Moderately Happy
South Korea,GDP per capita growth (annual %),2.8701969620,Moderately Happy
South Korea,"Incidence of tuberculosis (per 100,000 people)",70.0000000000,Moderately Happy
South Korea,Individuals using the Internet (% of population),95.0694218800,Moderately Happy
South Korea,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",63.0730018600,Moderately Happy
South Korea,"Life expectancy at birth, female (years)",85.7000000000,Moderately Happy
South Korea,"Life expectancy at birth, male (years)",79.7000000000,Moderately Happy
South Korea,"Life expectancy at birth, total (years)",82.6268292700,Moderately Happy
South Korea,Lifetime risk of maternal death (%),0.0119861900,Moderately Happy
South Korea,Mobile cellular subscriptions (per 100 people),124.5854293000,Moderately Happy
South Korea,"Mortality rate, infant (per 1,000 live births)",2.8000000000,Moderately Happy
South Korea,Net migration,58657.0000000000,Moderately Happy
South Korea,Rural population (% of total population),18.4970000000,Moderately Happy
South Korea,Secure Internet servers (per 1 million people),1198.9429290000,Moderately Happy
South Korea,"Survival to age 65, female (% of cohort)",94.9895970000,Moderately Happy
South Korea,"Survival to age 65, male (% of cohort)",87.8400830000,Moderately Happy
South Korea,"Tuberculosis case detection rate (%, all forms)",94.0000000000,Moderately Happy
South Korea,Urban population (% of total population),81.5030000000,Moderately Happy
South Sudan,"Birth rate, crude (per 1,000 people)",35.3700000000,Very Sad
South Sudan,Employment in agriculture (% of total employment) (modeled ILO estimate),57.8629989600,Very Sad
South Sudan,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",74.2570037800,Very Sad
South Sudan,"Employment in industry, female (% of female employment) (modeled ILO estimate)",7.7989997860,Very Sad
South Sudan,"Employment in services, female (% of female employment) (modeled ILO estimate)",17.9440002400,Very Sad
South Sudan,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",65.8290023800,Very Sad
South Sudan,Fixed telephone subscriptions (per 100 people),0.0000000000,Very Sad
South Sudan,"Incidence of tuberculosis (per 100,000 people)",146.0000000000,Very Sad
South Sudan,Individuals using the Internet (% of population),7.9774289070,Very Sad
South Sudan,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",72.4570007300,Very Sad
South Sudan,"Life expectancy at birth, female (years)",58.8910000000,Very Sad
South Sudan,"Life expectancy at birth, male (years)",55.8800000000,Very Sad
South Sudan,"Life expectancy at birth, total (years)",57.3650000000,Very Sad
South Sudan,Lifetime risk of maternal death (%),5.5077420680,Very Sad
South Sudan,Mobile cellular subscriptions (per 100 people),25.5613012600,Very Sad
South Sudan,"Mortality rate, infant (per 1,000 live births)",63.7000000000,Very Sad
South Sudan,Net migration,-870998.0000000000,Very Sad
South Sudan,Rural population (% of total population),80.6540000000,Very Sad
South Sudan,Secure Internet servers (per 1 million people),0.1833053040,Very Sad
South Sudan,"Survival to age 65, female (% of cohort)",55.2779660000,Very Sad
South Sudan,"Survival to age 65, male (% of cohort)",48.9333400000,Very Sad
South Sudan,"Tuberculosis case detection rate (%, all forms)",64.0000000000,Very Sad
South Sudan,Urban population (% of total population),19.3460000000,Very Sad
Spain,"Birth rate, crude (per 1,000 people)",8.4000000000,Moderately Happy
Spain,Employment in agriculture (% of total employment) (modeled ILO estimate),4.3530001640,Moderately Happy
Spain,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",2.2709999080,Moderately Happy
Spain,"Employment in industry, female (% of female employment) (modeled ILO estimate)",8.8529996870,Moderately Happy
Spain,"Employment in services, female (% of female employment) (modeled ILO estimate)",88.8759994500,Moderately Happy
Spain,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",53.9920005800,Moderately Happy
Spain,Fixed telephone subscriptions (per 100 people),41.9899249300,Moderately Happy
Spain,GDP per capita (current US$),28170.4345700000,Moderately Happy
Spain,GDP per capita growth (annual %),2.6506793390,Moderately Happy
Spain,"Incidence of tuberculosis (per 100,000 people)",11.0000000000,Moderately Happy
Spain,Individuals using the Internet (% of population),84.6022428000,Moderately Happy
Spain,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",57.9910011300,Moderately Happy
Spain,"Life expectancy at birth, female (years)",86.1000000000,Moderately Happy
Spain,"Life expectancy at birth, male (years)",80.6000000000,Moderately Happy
Spain,"Life expectancy at birth, total (years)",83.2829268300,Moderately Happy
Spain,Lifetime risk of maternal death (%),0.0046484600,Moderately Happy
Spain,Mobile cellular subscriptions (per 100 people),112.5612499000,Moderately Happy
Spain,"Mortality rate, infant (per 1,000 live births)",2.6000000000,Moderately Happy
Spain,Net migration,200000.0000000000,Moderately Happy
Spain,Rural population (% of total population),19.9200000000,Moderately Happy
Spain,Secure Internet servers (per 1 million people),7247.0390340000,Moderately Happy
Spain,"Survival to age 65, female (% of cohort)",94.3265000000,Moderately Happy
Spain,"Survival to age 65, male (% of cohort)",88.0569460000,Moderately Happy
Spain,"Tuberculosis case detection rate (%, all forms)",87.0000000000,Moderately Happy
Spain,Urban population (% of total population),80.0800000000,Moderately Happy
Sri Lanka,"Birth rate, crude (per 1,000 people)",16.1060000000,Moderately Sad
Sri Lanka,Employment in agriculture (% of total employment) (modeled ILO estimate),26.0729999500,Moderately Sad
Sri Lanka,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",29.4099998500,Moderately Sad
Sri Lanka,"Employment in industry, female (% of female employment) (modeled ILO estimate)",27.1229991900,Moderately Sad
Sri Lanka,"Employment in services, female (% of female employment) (modeled ILO estimate)",43.4679985000,Moderately Sad
Sri Lanka,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",73.4250030500,Moderately Sad
Sri Lanka,Fixed telephone subscriptions (per 100 people),12.3209677100,Moderately Sad
Sri Lanka,GDP per capita (current US$),4077.0437210000,Moderately Sad
Sri Lanka,GDP per capita growth (annual %),2.4140986620,Moderately Sad
Sri Lanka,"Incidence of tuberculosis (per 100,000 people)",64.0000000000,Moderately Sad
Sri Lanka,Individuals using the Internet (% of population),34.1133479000,Moderately Sad
Sri Lanka,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",54.5449981700,Moderately Sad
Sri Lanka,"Life expectancy at birth, female (years)",79.9790000000,Moderately Sad
Sri Lanka,"Life expectancy at birth, male (years)",73.2380000000,Moderately Sad
Sri Lanka,"Life expectancy at birth, total (years)",76.6480000000,Moderately Sad
Sri Lanka,Lifetime risk of maternal death (%),0.0784913460,Moderately Sad
Sri Lanka,Mobile cellular subscriptions (per 100 people),133.4676273000,Moderately Sad
Sri Lanka,"Mortality rate, infant (per 1,000 live births)",6.7000000000,Moderately Sad
Sri Lanka,Net migration,-489932.0000000000,Moderately Sad
Sri Lanka,Rural population (% of total population),81.6160000000,Moderately Sad
Sri Lanka,Secure Internet servers (per 1 million people),305.2135796000,Moderately Sad
Sri Lanka,"Survival to age 65, female (% of cohort)",90.4435860000,Moderately Sad
Sri Lanka,"Survival to age 65, male (% of cohort)",77.6326010000,Moderately Sad
Sri Lanka,"Tuberculosis case detection rate (%, all forms)",61.0000000000,Moderately Sad
Sri Lanka,Urban population (% of total population),18.3840000000,Moderately Sad
Sudan,"Birth rate, crude (per 1,000 people)",32.5420000000,Very Sad
Sudan,Employment in agriculture (% of total employment) (modeled ILO estimate),40.2879982000,Very Sad
Sudan,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",56.1710014300,Very Sad
Sudan,"Employment in industry, female (% of female employment) (modeled ILO estimate)",4.5029997830,Very Sad
Sudan,"Employment in services, female (% of female employment) (modeled ILO estimate)",39.3250007600,Very Sad
Sudan,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",60.5130004900,Very Sad
Sudan,Fixed telephone subscriptions (per 100 people),0.3510611970,Very Sad
Sudan,GDP per capita (current US$),1111.8684490000,Very Sad
Sudan,GDP per capita growth (annual %),1.8149540940,Very Sad
Sudan,"Incidence of tuberculosis (per 100,000 people)",77.0000000000,Very Sad
Sudan,Individuals using the Internet (% of population),30.8702957300,Very Sad
Sudan,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",48.4739990200,Very Sad
Sudan,"Life expectancy at birth, female (years)",66.7050000000,Very Sad
Sudan,"Life expectancy at birth, male (years)",63.0900000000,Very Sad
Sudan,"Life expectancy at birth, total (years)",64.8810000000,Very Sad
Sudan,Lifetime risk of maternal death (%),1.3344020730,Very Sad
Sudan,Mobile cellular subscriptions (per 100 people),70.1831778400,Very Sad
Sudan,"Mortality rate, infant (per 1,000 live births)",43.3000000000,Very Sad
Sudan,Net migration,-250001.0000000000,Very Sad
Sudan,Rural population (% of total population),65.6300000000,Very Sad
Sudan,Secure Internet servers (per 1 million people),1.8735474080,Very Sad
Sudan,"Survival to age 65, female (% of cohort)",69.1973120000,Very Sad
Sudan,"Survival to age 65, male (% of cohort)",61.8612290000,Very Sad
Sudan,"Tuberculosis case detection rate (%, all forms)",65.0000000000,Very Sad
Sudan,Urban population (% of total population),34.3700000000,Very Sad
Suriname,"Birth rate, crude (per 1,000 people)",18.7910000000,Moderately Happy
Suriname,Employment in agriculture (% of total employment) (modeled ILO estimate),7.6589999200,Moderately Happy
Suriname,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",4.1700000760,Moderately Happy
Suriname,"Employment in industry, female (% of female employment) (modeled ILO estimate)",7.2300000190,Moderately Happy
Suriname,"Employment in services, female (% of female employment) (modeled ILO estimate)",88.6009979200,Moderately Happy
Suriname,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",61.3680000300,Moderately Happy
Suriname,Fixed telephone subscriptions (per 100 people),15.6057185300,Moderately Happy
Suriname,GDP per capita (current US$),5626.7958160000,Moderately Happy
Suriname,GDP per capita growth (annual %),0.7619761050,Moderately Happy
Suriname,"Incidence of tuberculosis (per 100,000 people)",28.0000000000,Moderately Happy
Suriname,Individuals using the Internet (% of population),48.9451739700,Moderately Happy
Suriname,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",51.3050003100,Moderately Happy
Suriname,"Life expectancy at birth, female (years)",74.8170000000,Moderately Happy
Suriname,"Life expectancy at birth, male (years)",68.2740000000,Moderately Happy
Suriname,"Life expectancy at birth, total (years)",71.4630000000,Moderately Happy
Suriname,Lifetime risk of maternal death (%),0.3023118580,Moderately Happy
Suriname,Mobile cellular subscriptions (per 100 people),139.5050973000,Moderately Happy
Suriname,"Mortality rate, infant (per 1,000 live births)",17.4000000000,Moderately Happy
Suriname,Net migration,-4999.0000000000,Moderately Happy
Suriname,Rural population (% of total population),33.9590000000,Moderately Happy
Suriname,Secure Internet servers (per 1 million people),201.5789769000,Moderately Happy
Suriname,"Survival to age 65, female (% of cohort)",80.4762750000,Moderately Happy
Suriname,"Survival to age 65, male (% of cohort)",67.4455000000,Moderately Happy
Suriname,"Tuberculosis case detection rate (%, all forms)",80.0000000000,Moderately Happy
Suriname,Urban population (% of total population),66.0410000000,Moderately Happy
Sweden,"Birth rate, crude (per 1,000 people)",11.5000000000,Extremely Happy
Sweden,Employment in agriculture (% of total employment) (modeled ILO estimate),1.8309999700,Extremely Happy
Sweden,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",1.0169999600,Extremely Happy
Sweden,"Employment in industry, female (% of female employment) (modeled ILO estimate)",7.1090002060,Extremely Happy
Sweden,"Employment in services, female (% of female employment) (modeled ILO estimate)",91.8740005500,Extremely Happy
Sweden,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",62.9469986000,Extremely Happy
Sweden,Fixed telephone subscriptions (per 100 people),26.4733622600,Extremely Happy
Sweden,GDP per capita (current US$),53791.5087300000,Extremely Happy
Sweden,GDP per capita growth (annual %),1.1951475710,Extremely Happy
Sweden,"Incidence of tuberculosis (per 100,000 people)",5.7000000000,Extremely Happy
Sweden,Individuals using the Internet (% of population),95.5100674500,Extremely Happy
Sweden,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",64.3040008500,Extremely Happy
Sweden,"Life expectancy at birth, female (years)",84.1000000000,Extremely Happy
Sweden,"Life expectancy at birth, male (years)",80.8000000000,Extremely Happy
Sweden,"Life expectancy at birth, total (years)",82.4097561000,Extremely Happy
Sweden,Lifetime risk of maternal death (%),0.0079505750,Extremely Happy
Sweden,Mobile cellular subscriptions (per 100 people),126.3951989000,Extremely Happy
Sweden,"Mortality rate, infant (per 1,000 live births)",2.2000000000,Extremely Happy
Sweden,Net migration,200000.0000000000,Extremely Happy
Sweden,Rural population (% of total population),12.8540000000,Extremely Happy
Sweden,Secure Internet servers (per 1 million people),13619.1204000000,Extremely Happy
Sweden,"Survival to age 65, female (% of cohort)",93.3216310000,Extremely Happy
Sweden,"Survival to age 65, male (% of cohort)",89.7377720000,Extremely Happy
Sweden,"Tuberculosis case detection rate (%, all forms)",87.0000000000,Extremely Happy
Sweden,Urban population (% of total population),87.1460000000,Extremely Happy
Switzerland,"Birth rate, crude (per 1,000 people)",10.3000000000,Extremely Happy
Switzerland,Employment in agriculture (% of total employment) (modeled ILO estimate),3.1089999680,Extremely Happy
Switzerland,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",2.5869998930,Extremely Happy
Switzerland,"Employment in industry, female (% of female employment) (modeled ILO estimate)",10.1409997900,Extremely Happy
Switzerland,"Employment in services, female (% of female employment) (modeled ILO estimate)",87.2710037200,Extremely Happy
Switzerland,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",70.9250030500,Extremely Happy
Switzerland,Fixed telephone subscriptions (per 100 people),42.0937027400,Extremely Happy
Switzerland,GDP per capita (current US$),80449.9945600000,Extremely Happy
Switzerland,GDP per capita growth (annual %),0.8538802960,Extremely Happy
Switzerland,"Incidence of tuberculosis (per 100,000 people)",7.2000000000,Extremely Happy
Switzerland,Individuals using the Internet (% of population),89.6861476700,Extremely Happy
Switzerland,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",68.3799972500,Extremely Happy
Switzerland,"Life expectancy at birth, female (years)",85.6000000000,Extremely Happy
